Source_Id,Target_Id,Type,Weight
32611,19947,Directed,4
4374,19998,Directed,4
14576,20017,Directed,4
8962,20274,Directed,4
4375,20378,Directed,4
23758,20395,Directed,4
41395,20522,Directed,4
23758,20524,Directed,4
43115,20555,Directed,4
42148,20654,Directed,4
36719,20664,Directed,4
2416,20673,Directed,4
32610,20797,Directed,4
37678,20809,Directed,4
36719,20827,Directed,4
36719,20898,Directed,4
42914,20966,Directed,4
6869,21038,Directed,4
40596,21044,Directed,4
468,21090,Directed,4
32837,21215,Directed,4
15531,21245,Directed,4
32611,21283,Directed,4
42037,21334,Directed,4
42037,21425,Directed,4
42037,21477,Directed,4
25177,21528,Directed,4
11294,21531,Directed,4
40434,21629,Directed,4
26480,21631,Directed,4
43259,21631,Directed,4
8954,21658,Directed,4
23758,21723,Directed,4
34164,21761,Directed,4
8954,21925,Directed,4
36719,21995,Directed,4
8954,21999,Directed,4
32837,22095,Directed,4
23758,22248,Directed,4
6400,22256,Directed,4
24754,22395,Directed,4
8894,22489,Directed,4
8954,22660,Directed,4
32871,22664,Directed,4
32871,22776,Directed,4
36719,22865,Directed,4
26569,22914,Directed,4
42531,22972,Directed,4
42037,23191,Directed,4
40794,23558,Directed,4
40641,23567,Directed,4
8954,23623,Directed,4
40832,23623,Directed,4
14576,23702,Directed,4
26912,23759,Directed,4
42517,23816,Directed,4
32837,23900,Directed,4
8954,23936,Directed,4
40358,23936,Directed,4
13308,23965,Directed,4
4001,24053,Directed,4
1610,24113,Directed,4
36719,24149,Directed,4
32611,24168,Directed,4
8954,24174,Directed,4
39088,24336,Directed,4
32610,24363,Directed,4
27252,24419,Directed,4
42470,24512,Directed,4
39088,24544,Directed,4
6400,24619,Directed,4
8954,24741,Directed,4
32611,24767,Directed,4
26912,24781,Directed,4
6303,24855,Directed,4
29397,24879,Directed,4
17585,24883,Directed,4
26912,24889,Directed,4
32611,25024,Directed,4
1355,25142,Directed,4
26912,25165,Directed,4
4374,25206,Directed,4
4375,25206,Directed,4
32611,25224,Directed,4
23758,25364,Directed,4
17529,25383,Directed,4
1504,25486,Directed,4
2567,25616,Directed,4
9401,25621,Directed,4
26480,25672,Directed,4
40032,25760,Directed,4
41259,25813,Directed,4
12201,25847,Directed,4
17670,25870,Directed,4
42392,25887,Directed,4
8954,25930,Directed,4
23758,26040,Directed,4
43018,26074,Directed,4
25186,26122,Directed,4
8954,26155,Directed,4
41759,26240,Directed,4
24754,26244,Directed,4
8954,26308,Directed,4
8855,26500,Directed,4
41610,26507,Directed,4
32610,26557,Directed,4
8954,26684,Directed,4
15531,26850,Directed,4
42037,26920,Directed,4
42148,26951,Directed,4
8954,26988,Directed,4
39088,27022,Directed,4
26480,27067,Directed,4
8962,27083,Directed,4
8954,27248,Directed,4
8954,27440,Directed,4
36719,27551,Directed,4
6869,27566,Directed,4
1686,27590,Directed,4
29705,27682,Directed,4
8275,27738,Directed,4
23758,27749,Directed,4
41013,27882,Directed,4
42517,27882,Directed,4
25177,27897,Directed,4
32611,27926,Directed,4
27312,28057,Directed,4
43115,28096,Directed,4
14123,28137,Directed,4
23758,28204,Directed,4
42517,28239,Directed,4
1686,28243,Directed,4
36719,28251,Directed,4
36719,28265,Directed,4
29705,28291,Directed,4
32747,28291,Directed,4
40032,28330,Directed,4
36719,28354,Directed,4
36719,28419,Directed,4
35157,28456,Directed,4
23758,28517,Directed,4
41188,28571,Directed,4
28583,28583,Directed,4
17307,28608,Directed,4
32871,28608,Directed,4
26480,28752,Directed,4
39088,28767,Directed,4
42914,28772,Directed,4
42517,28891,Directed,4
31123,29035,Directed,4
42187,29035,Directed,4
903,29059,Directed,4
36719,29065,Directed,4
43415,29094,Directed,4
24754,29188,Directed,4
36719,29249,Directed,4
17670,29337,Directed,4
23758,29377,Directed,4
40596,29533,Directed,4
36719,29641,Directed,4
8549,29648,Directed,4
32871,29664,Directed,4
42901,29768,Directed,4
23758,29967,Directed,4
42037,30003,Directed,4
36719,30145,Directed,4
23758,30156,Directed,4
32871,30241,Directed,4
40457,30268,Directed,4
32837,30499,Directed,4
42470,30584,Directed,4
43259,30644,Directed,4
41769,30766,Directed,4
7410,30847,Directed,4
14576,30971,Directed,4
23882,30976,Directed,4
25177,30979,Directed,4
36719,31000,Directed,4
8954,31007,Directed,4
42517,31022,Directed,4
38009,31103,Directed,4
32611,31116,Directed,4
32611,31124,Directed,4
39088,31225,Directed,4
41227,31245,Directed,4
42037,31315,Directed,4
42037,31353,Directed,4
36719,31395,Directed,4
43259,31461,Directed,4
36719,31495,Directed,4
32611,31611,Directed,4
42914,31675,Directed,4
23758,31760,Directed,4
40457,31841,Directed,4
2297,31842,Directed,4
14576,31912,Directed,4
18110,31917,Directed,4
8549,31932,Directed,4
36719,31932,Directed,4
43259,31964,Directed,4
32610,32301,Directed,4
16911,32368,Directed,4
42084,32593,Directed,4
23758,32888,Directed,4
36719,32888,Directed,4
12201,32902,Directed,4
31343,33153,Directed,4
36719,33207,Directed,4
23758,33323,Directed,4
2110,33343,Directed,4
43440,33374,Directed,4
42037,33480,Directed,4
37678,33489,Directed,4
42869,33534,Directed,4
